parent_id,child_id
0,7470652003027255296
0,7470652003027255298
0,7470652003027255299
0,7470652003031449601
0,7470652003031449603
0,7470652003031449604
0,7470652003031449608
0,7470652003031449609
0,7470652003031449612
0,7470652003031449614
0,7470652003031449617
0,7470652003031449623
0,7470652003031449625
0,7470652003031449629
0,7470652003031449635
0,7470652003031449636
0,7470652003031449647
0,7470652003031449648
0,7470652003031449652
0,7470652003031449655
0,7470652003031449656
0,7470652003031449664
0,7470652003031449667
0,7470652003031449668
0,7470652003031449669
0,7470652003031449673
0,7470652003031449674
0,7470652003031449679
0,7470652003031449684
0,7470652003031449685
0,7470652003031449694
0,7470652003031449702
0,7470652003031449713
0,7470652003031449714
0,7470652003031449715
0,7470652003031449724
0,7470652003031449725
0,7470652003031449729
0,7470652003031449730
0,7470652003031449733
0,7470652003031449736
0,7470652003031449738
7470652003027255296,7470652003027255297
7470652003027255299,7470652003027255300
7470652003027255299,7470652003031449600
7470652003031449601,7470652003031449602
7470652003031449604,7470652003031449605
7470652003031449604,7470652003031449606
7470652003031449604,7470652003031449607
7470652003031449609,7470652003031449610
7470652003031449609,7470652003031449611
7470652003031449612,7470652003031449613
7470652003031449614,7470652003031449615
7470652003031449614,7470652003031449616
7470652003031449614,7470652003031449681
7470652003031449617,7470652003031449618
7470652003031449617,7470652003031449619
7470652003031449617,7470652003031449620
7470652003031449617,7470652003031449621
7470652003031449617,7470652003031449622
7470652003031449617,7470652003031449642
7470652003031449623,7470652003031449624
7470652003031449623,7470652003031449625
7470652003031449623,7470652003031449626
7470652003031449623,7470652003031449627
7470652003031449623,7470652003031449628
7470652003031449623,7470652003031449629
7470652003031449623,7470652003031449634
7470652003031449627,7470652003031449634
7470652003031449629,7470652003031449630
7470652003031449629,7470652003031449631
7470652003031449629,7470652003031449632
7470652003031449629,7470652003031449633
7470652003031449632,7470652003031449672
7470652003031449636,7470652003031449637
7470652003031449636,7470652003031449638
7470652003031449636,7470652003031449639
7470652003031449636,7470652003031449641
7470652003031449636,7470652003031449644
7470652003031449636,7470652003031449645
7470652003031449636,7470652003031449646
7470652003031449639,7470652003031449640
7470652003031449639,7470652003031449642
7470652003031449639,7470652003031449643
7470652003031449648,7470652003031449649
7470652003031449649,7470652003031449650
7470652003031449649,7470652003031449651
7470652003031449652,7470652003031449653
7470652003031449652,7470652003031449654
7470652003031449656,7470652003031449634
7470652003031449656,7470652003031449657
7470652003031449656,7470652003031449658
7470652003031449656,7470652003031449659
7470652003031449656,7470652003031449661
7470652003031449656,7470652003031449662
7470652003031449656,7470652003031449663
7470652003031449659,7470652003031449660
7470652003031449664,7470652003031449665
7470652003031449664,7470652003031449666
7470652003031449669,7470652003031449670
7470652003031449669,7470652003031449671
7470652003031449669,7470652003031449672
7470652003031449674,7470652003031449675
7470652003031449674,7470652003031449676
7470652003031449674,7470652003031449677
7470652003031449674,7470652003031449678
7470652003031449679,7470652003031449680
7470652003031449679,7470652003031449681
7470652003031449679,7470652003031449682
7470652003031449679,7470652003031449683
7470652003031449685,7470652003031449686
7470652003031449685,7470652003031449687
7470652003031449685,7470652003031449689
7470652003031449685,7470652003031449690
7470652003031449685,7470652003031449691
7470652003031449685,7470652003031449692
7470652003031449685,7470652003031449693
7470652003031449687,7470652003031449688
7470652003031449694,7470652003031449695
7470652003031449694,7470652003031449696
7470652003031449694,7470652003031449697
7470652003031449694,7470652003031449698
7470652003031449694,7470652003031449699
7470652003031449694,7470652003031449700
7470652003031449694,7470652003031449701
7470652003031449694,7472293589232990503
7470652003031449702,7470652003031449602
7470652003031449702,7470652003031449703
7470652003031449702,7470652003031449704
7470652003031449702,7470652003031449705
7470652003031449702,7470652003031449706
7470652003031449702,7470652003031449707
7470652003031449707,7470652003031449708
7470652003031449707,7470652003031449709
7470652003031449707,7470652003031449710
7470652003031449707,7470652003031449711
7470652003031449707,7470652003031449712
7470652003031449715,7470652003031449716
7470652003031449715,7470652003031449717
7470652003031449715,7470652003031449718
7470652003031449715,7470652003031449719
7470652003031449715,7470652003031449720
7470652003031449715,7470652003031449721
7470652003031449715,7470652003031449722
7470652003031449715,7470652003031449723
7470652003031449725,7470652003031449726
7470652003031449725,7470652003031449727
7470652003031449727,7470652003031449728
7470652003031449730,7470652003031449731
7470652003031449730,7470652003031449732
7470652003031449733,7470652003031449734
7470652003031449733,7470652003031449735
7470652003031449736,7470652003031449737
7470652003031449738,7470652003031449739
7470652003031449738,7470652003031449740
7470652003031449738,7470652003031449741
7470652003031449738,7470652003031449742
7470652003031449738,7470652003031449743
7470652003031449738,7470652003031449744
7470652003031449738,7470652003031449745
7470652003031449738,7470652003031449746
7470652003031449738,7470652003031449747
7470652003031449738,7470652003031449748
7470652003031449738,7470652003031449749
7470652003031449738,7470652003031449750
7470652003031449738,7470652003031449752
7470652003031449750,7470652003031449700
7470652003031449750,7470652003031449751
